Fe,C,Cr,Ni,Mn,Si,N,Mo,Co,P,S,Cu,W,Al,Ti,Ce,Nb,vol% sigma phase formed,Temperature(c),Onset Time(hrs),e_tot,e_tot_eV,CNT_feature
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,1.0,700.0,0.1,-509.7757149176791,-3.182020012516153e+21,1.4653743692856842e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,5.0,700.0,1.0,-393.2246376391504,-2.454508188143577e+21,1.1303427929302448e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,12.0,700.0,3.0,-469.3542377283408,-2.9297091519003036e+21,1.3491809239947733e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,25.0,700.0,5.0,-492.1436719191824,-3.071960800119537e+21,1.4146902289234612e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,38.0,700.0,10.0,-445.14146770397383,-2.7785730414082046e+21,1.2795801729883317e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,48.0,700.0,100.0,-436.5723775089614,-2.725084780410937e+21,1.254947918503835e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,52.0,700.0,1000.0,-467.15981624513927,-2.916011573002159e+21,1.342872955798578e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,15.0,700.0,0.8,-433.4323723505849,-2.705484868212351e+21,1.2459218253733438e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,38.0,700.0,8.0,-455.74827727848316,-2.844780746772292e+21,1.3100699480708696e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,40.0,700.0,100.0,-405.8238506724724,-2.533152475897573e+21,1.1665598258565419e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,400.0,700.0,200.0,-479.1859113895317,-2.991078458893457e+21,1.3774425342847354e+22
68.504,0.016,22.2,5.7,0,0.44,0.16,2.98,0,0,0,0,0,0,0,0,0,37.0,700.0,1000.0,-430.15909092463704,-2.6850530455515845e+21,1.236512623317068e+22
66.48,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0.001,0.002,0,1.2,750.0,0.5,-484.09851201307976,-3.0217429119856437e+21,1.3915640367997121e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,2.5,750.0,1.0,-461.9874189796064,-2.883725469270703e+21,1.3280046555659957e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,6.5,750.0,3.0,-425.5755047078909,-2.656442300386655e+21,1.2233368882538244e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,9.1,750.0,5.0,-371.45742375336016,-2.3186372390684742e+21,1.0677719085479878e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,12.9,750.0,10.0,-437.4944290641718,-2.73084022621856e+21,1.2575983992478687e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,16.3,750.0,20.0,-448.5290670029788,-2.7997184362325937e+21,1.2893179871699541e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,18.7,750.0,40.0,-449.8693212873552,-2.8080843034756713e+21,1.2931706114107297e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.2,750.0,50.0,-474.4568375357011,-2.9615595798978463e+21,1.3638485881372977e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,19.5,750.0,100.0,-365.72276300015653,-2.282841486646977e+21,1.051287355364339e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,3.1,800.0,0.5,-457.3326665915783,-2.8546705048646315e+21,1.3146243499822173e+22
66.483,0.016,22.39,5.7,1.43,0.39,0.178,3.19,0,0.022,0.001,0.2,0,0,0,0,0,5.7,800.0,1.0,-461.5339364222056,-2.8808948311474076e+21,1.3267010985367236e+22
